intervention_date,administrator_id,school,original_text,school_code,n_booklets,additional_booklets,notes
2018-03-05,10,Clemson University,630 Control only (XBH & XBJ codes boxes) (no other booklets!),XBH,315,No,"Assumed booklets were divided evenly across the two codes, thus “n_booklets” = 630/2 "
2018-03-05,10,Clemson University,630 Control only (XBH & XBJ codes boxes) (no other booklets!),XBJ,315,No,"Assumed booklets were divided evenly across the two codes, thus “n_booklets” = 630/2 "
2018-02-27,3,Fairmount State University,"315 Control (XAH code box) only at Fairmount (no other booklets!), 500 CC (CAK code box) at WVSU, 1,000 SP (PAH & PAJ code boxes) at WVSU",XAH,315,No,
2018-03-05,11,Humboldt State University,"341 Control only (XBK [all 315 cards] & XBM [only 26 cards], but _not_ XBN, XBP, XBR, & XBT codes boxes) (no other booklets!)",XBK,315,No,
2018-03-05,11,Humboldt State University,"341 Control only (XBK [all 315 cards] & XBM [only 26 cards], but _not_ XBN, XBP, XBR, & XBT codes boxes) (no other booklets!)",XBM,26,No,
2018-02-26,3,Indiana University South Bend,630 Control (XAJ & XAK codes boxes) only (no other booklets!),XAJ,315,No,"Assumed booklets were divided evenly across the 2 codes, thus “n_booklets” = 630/2 "
2018-02-26,3,Indiana University South Bend,630 Control (XAJ & XAK codes boxes) only (no other booklets!),XAK,315,No,"Assumed booklets were divided evenly across the 2 codes, thus “n_booklets” = 630/2 "
2018-03-05,9,Prairie View A&M University,630 Control only (XBE & XBF code boxes) (no other booklets!),XBE,315,No,"Assumed booklets were divided evenly across the 2 codes, thus “n_booklets” = 630/2 "
2018-03-05,9,Prairie View A&M University,630 Control only (XBE & XBF code boxes) (no other booklets!),XBF,315,No,"Assumed booklets were divided evenly across the 2 codes, thus “n_booklets” = 630/2 "
2018-03-05,1,Rutgers University New Brunswick - Douglass/Cook Campus,"945 Control only (XAA, XAB & XAC codes boxes) (no other booklets!)",XAA,315,No,"Assumed booklets were divided evenly across the 3 codes, thus “n_booklets” = 945/3 "
2018-03-05,1,Rutgers University New Brunswick - Douglass/Cook Campus,"945 Control only (XAA, XAB & XAC codes boxes) (no other booklets!)",XAB,315,No,"Assumed booklets were divided evenly across the 3 codes, thus “n_booklets” = 945/3 "
2018-03-05,1,Rutgers University New Brunswick - Douglass/Cook Campus,"945 Control only (XAA, XAB & XAC codes boxes) (no other booklets!)",XAC,315,No,"Assumed booklets were divided evenly across the 3 codes, thus “n_booklets” = 945/3 "
2018-03-05,2,San Diego State University,"788 Control only (XAD, XAE & XAF [158 cards only] code boxes) (no other booklets!)",XAD,262,No,"Assumed booklets were divided evenly across the 3 codes, thus “n_booklets” = 788/3 "
